speed,rpm,tp,load,timing
15,1485,14,25,24
14,1531,16,24,23
15,1618,17,25,27
15,1595,20,31,21
17,1538,20,37,18
18,1502,18,31,29
20,1550,15,23,26
22,1467,15,25,-1
24,1173,15,36,-29
25,1101,14,35,-19
26,1099,14,34,-20
25,1083,14,32,-16
20,1097,14,32,-20
13,1054,14,32,-16
9,967,14,34,-12
8,936,14,35,-11
8,942,14,35,-10
9,1168,16,36,0
11,1517,21,40,16
14,1864,21,32,13
17,1810,21,38,12
20,1859,20,36,17
23,1560,19,44,17
25,1517,17,29,27
26,1506,15,26,24
26,1592,14,20,30
26,1513,14,20,-11
26,1197,14,36,-24
25,1120,14,34,-23
24,1091,14,32,-19
22,1089,14,33,-21
17,1079,14,33,-19
11,1020,14,33,-15
7,936,15,35,-3
3,1006,18,58,-12
0,928,17,58,-9
0,947,17,58,-9
0,915,16,40,-1
2,963,18,60,-9
5,1001,18,60,-11
6,928,16,55,-9
7,923,15,47,-11
8,1055,14,38,10
7,988,16,36,-2
7,975,17,50,-14
7,954,16,49,-13
6,964,18,55,-11
4,1008,20,63,-12
0,981,18,64,-12
0,973,18,63,-10
4,1181,21,61,10
9,1646,89,52,13
14,2158,89,50,8
24,2804,89,75,10
34,2513,88,84,1
42,2531,89,89,0
51,2612,32,99,1
55,2141,39,72,19
54,1610,15,20,-26
47,1400,14,31,0
36,1510,16,29,0
24,1345,15,33,0
18,1190,17,42,11
20,2386,89,45,9
28,2422,89,60,8
34,2197,89,72,5
42,2463,89,81,1
50,2622,39,93,0
56,2649,51,95,-1
62,2610,36,92,1
64,1967,89,52,12
64,1702,89,69,31
63,1530,25,45,11
63,2317,89,65,5
66,2416,28,63,12
67,2101,84,67,8
69,2332,89,68,7
71,2356,29,64,14
71,1863,31,56,12
70,1631,16,35,33
68,1523,15,19,0
62,1563,14,18,0
59,1569,14,20,0
56,1515,14,21,0
55,1525,14,21,0
55,1536,14,22,0
54,1517,14,22,0
50,1486,14,22,0
42,1516,14,22,0
33,1510,14,22,0
23,1256,16,31,-20
20,1288,16,36,-4
22,1791,23,37,-2
26,2053,89,43,7
31,1996,89,58,4
37,2243,89,70,3
44,2445,89,79,3
53,2639,32,92,2
59,2498,81,78,2
65,2661,38,96,0
70,2700,41,94,0
75,2668,40,92,1
80,2686,40,99,0
85,2770,42,96,0
89,2914,89,100,0
94,2877,34,100,0
96,2362,38,65,5
98,2694,89,87,1
99,2475,17,26,42
98,1886,12,10,0
92,1782,12,10,0
88,1697,13,13,0
86,1742,23,37,11
85,1649,12,16,21
79,1558,12,13,0
72,1603,14,16,0
66,1586,14,18,0
63,1561,14,19,0
59,1511,13,20,0
52,1507,14,21,0
43,1495,14,23,0
35,1541,14,21,0
28,1505,14,22,0
26,1605,19,33,21
27,1824,23,31,20
29,1802,25,39,18
31,1582,28,52,13
32,1490,18,35,31
32,1515,14,23,29
32,1519,16,23,25
32,1531,16,25,23
33,1530,21,35,22
33,1515,22,40,23
34,1519,20,34,28
35,1524,20,32,29
35,1518,16,29,29
35,1530,14,26,30
32,1483,14,23,0
26,1259,15,27,0
24,1178,15,38,-22
22,1109,14,34,-20
21,1098,15,33,-19
20,1094,15,34,-17
19,1101,15,35,7
19,1542,15,22,20
19,1492,15,24,3
18,1364,17,40,-32
13,1095,15,38,-21
5,879,20,40,11
0,984,19,63,-10
0,968,19,64,-11
0,955,14,58,-5
0,953,20,60,-15
