sample,input_speed,input_rpm,input_tp,input_load,input_timing,mstedarls_speed,mstedarls_rpm,mstedarls_tp,mstedarls_load,mstedarls_timing,mstedarls_flag_speed,mstedarls_flag_rpm,mstedarls_flag_tp,mstedarls_flag_load,mstedarls_flag_timing,mptedarls_speed,mptedarls_rpm,mptedarls_tp,mptedarls_load,mptedarls_timing,mptedarls_flag,time_mstedarls_us,time_mptedarls_us
0,15.0,1485.0,14.0,25.0,24.0,15.0,1485.0,14.0,25.0,24.0,0,0,0,0,0,15.0,1485.0,14.0,25.0,24.0,0,406,1706
1,14.0,1531.0,16.0,24.0,23.0,14.0,1531.0,16.0,24.0,23.0,0,0,0,0,0,14.0,1531.0,16.0,24.0,23.0,0,432,4326
2,15.0,1618.0,17.0,25.0,27.0,15.0,1618.0,17.0,25.0,27.0,0,0,0,0,0,15.0,1618.0,17.0,25.0,27.0,0,453,4471
3,15.0,1595.0,20.0,31.0,21.0,15.0,1595.0,20.0,31.0,21.0,0,0,0,0,0,15.0,1595.0,20.0,31.0,21.0,0,438,4317
4,17.0,1538.0,20.0,37.0,18.0,17.0,1538.0,20.0,37.0,18.0,0,0,0,0,0,17.0,1538.0,20.0,37.0,18.0,0,452,4468
5,18.0,1502.0,18.0,31.0,29.0,18.0,1502.0,18.0,31.0,29.0,0,0,0,0,0,18.0,1502.0,18.0,31.0,29.0,0,450,4311
6,20.0,1550.0,15.0,23.0,26.0,20.0,1550.0,15.0,23.0,26.0,0,0,0,0,0,20.0,1550.0,15.0,23.0,26.0,0,438,4318
7,22.0,1467.0,15.0,25.0,-1.0,22.0,1467.0,15.0,25.0,-1.0,0,0,0,0,0,22.0,1467.0,15.0,25.0,-1.0,0,445,4315
8,24.0,1173.0,15.0,36.0,-29.0,24.0,1173.0,15.0,36.0,-29.0,0,0,0,0,0,24.0,1173.0,15.0,36.0,-29.0,0,436,4483
9,25.0,1101.0,14.0,35.0,-19.0,25.0,1101.0,14.0,35.0,-19.0,0,0,0,0,0,25.0,1101.0,14.0,35.0,-19.0,0,438,4317
10,26.0,1099.0,14.0,34.0,-20.0,26.0,1099.0,14.0,34.0,-20.0,0,0,0,0,0,26.0,1099.0,14.0,34.0,-20.0,0,454,4299
11,25.0,1083.0,14.0,32.0,-16.0,25.0,1083.0,14.0,32.0,-16.0,0,0,0,0,0,25.0,1083.0,14.0,32.0,-16.0,0,437,4305
12,20.0,1097.0,14.0,32.0,-20.0,20.0,1097.0,14.0,32.0,-20.0,0,0,0,0,0,20.0,1097.0,14.0,32.0,-20.0,0,452,4322
13,13.0,1054.0,14.0,32.0,-16.0,13.0,1054.0,14.0,32.0,-16.0,0,0,0,0,0,13.0,1054.0,14.0,32.0,-16.0,0,438,4325
14,9.0,967.0,14.0,34.0,-12.0,9.0,967.0,14.0,34.0,-12.0,0,0,0,0,0,9.0,967.0,14.0,34.0,-12.0,0,441,4325
15,8.0,936.0,14.0,35.0,-11.0,8.0,936.0,14.0,35.0,-11.0,0,0,0,0,0,8.0,936.0,14.0,35.0,-11.0,0,439,4318
16,8.0,942.0,14.0,35.0,-10.0,8.0,942.0,14.0,35.0,-10.0,0,0,0,0,0,8.0,942.0,14.0,35.0,-10.0,0,453,4504
17,9.0,1168.0,16.0,36.0,0.0,9.0,1168.0,16.0,36.0,0.0,0,0,0,0,0,9.0,1168.0,16.0,36.0,0.0,0,450,4306
18,11.0,1517.0,21.0,40.0,16.0,11.0,1517.0,21.0,40.0,16.0,0,0,0,0,0,11.0,1517.0,21.0,40.0,16.0,0,456,4316
19,14.0,1864.0,21.0,32.0,13.0,14.0,1864.0,21.0,32.0,13.0,0,0,0,0,0,14.0,1864.0,21.0,32.0,13.0,0,435,4328
20,17.0,1810.0,21.0,38.0,12.0,17.0,1810.0,21.0,38.0,12.0,0,0,0,0,0,17.0,1810.0,21.0,38.0,12.0,0,438,4301
21,20.0,1859.0,20.0,36.0,17.0,20.0,1859.0,20.0,36.0,17.0,0,0,0,0,0,20.0,1859.0,20.0,36.0,17.0,0,450,4309
22,23.0,1560.0,19.0,44.0,17.0,23.0,1560.0,19.0,44.0,17.0,0,0,0,0,0,23.0,1560.0,19.0,44.0,17.0,0,440,4325
23,25.0,1517.0,17.0,29.0,27.0,25.0,1517.0,17.0,29.0,27.0,0,0,0,0,0,25.0,1517.0,17.0,29.0,27.0,0,449,4299
24,26.0,1506.0,15.0,26.0,24.0,26.0,1506.0,15.0,26.0,24.0,0,0,0,0,0,26.0,1506.0,15.0,26.0,24.0,0,451,4312
25,26.0,1592.0,14.0,20.0,30.0,26.0,1592.0,14.0,20.0,30.0,0,0,0,0,0,26.0,1592.0,14.0,20.0,30.0,0,436,4311
26,26.0,1513.0,14.0,20.0,-11.0,26.0,1513.0,14.0,20.0,-11.0,0,0,0,0,0,26.0,1513.0,14.0,20.0,-11.0,0,454,4299
27,26.0,1197.0,14.0,36.0,-24.0,26.0,1197.0,14.0,36.0,-24.0,0,0,0,0,0,26.0,1197.0,14.0,36.0,-24.0,0,448,4306
28,25.0,1120.0,14.0,34.0,-23.0,25.0,1120.0,14.0,34.0,-23.0,0,0,0,0,0,25.0,1120.0,14.0,34.0,-23.0,0,433,4306
29,24.0,1091.0,14.0,32.0,-19.0,24.0,1091.0,14.0,32.0,-19.0,0,0,0,0,0,24.0,1091.0,14.0,32.0,-19.0,0,453,4303
30,22.0,1089.0,14.0,33.0,-21.0,22.0,1089.0,14.0,33.0,-21.0,0,0,0,0,0,22.0,1089.0,14.0,33.0,-21.0,0,437,4313
31,17.0,1079.0,14.0,33.0,-19.0,17.0,1079.0,14.0,33.0,-19.0,0,0,0,0,0,17.0,1079.0,14.0,33.0,-19.0,0,437,4311
32,11.0,1020.0,14.0,33.0,-15.0,11.0,1020.0,14.0,33.0,-15.0,0,0,0,0,0,11.0,1020.0,14.0,33.0,-15.0,0,457,4494
33,7.0,936.0,15.0,35.0,-3.0,7.0,936.0,15.0,35.0,-3.0,0,0,0,0,0,7.0,936.0,15.0,35.0,-3.0,0,440,4327
34,3.0,1006.0,18.0,58.0,-12.0,3.0,1006.0,18.0,33.12,-12.0,0,0,0,1,0,3.0,1006.0,18.0,58.0,-12.0,0,449,4307
35,0.0,928.0,17.0,58.0,-9.0,0.0,928.0,17.0,33.12,-9.0,0,0,0,1,0,0.0,928.0,17.0,58.0,-9.0,0,449,4230
36,0.0,947.0,17.0,58.0,-9.0,0.0,947.0,17.0,58.0,-9.0,0,0,0,0,0,0.0,947.0,17.0,58.0,-9.0,0,434,4245
37,0.0,915.0,16.0,40.0,-1.0,0.0,915.0,16.0,40.0,-1.0,0,0,0,0,0,0.0,915.0,16.0,40.0,-1.0,0,452,4234
38,2.0,963.0,18.0,60.0,-9.0,2.0,963.0,18.0,60.0,-9.0,0,0,0,0,0,2.0,963.0,18.0,60.0,-9.0,0,436,4315
39,5.0,1001.0,18.0,60.0,-11.0,5.0,1001.0,18.0,60.0,-11.0,0,0,0,0,0,5.0,1001.0,18.0,60.0,-11.0,0,450,4304
40,6.0,928.0,16.0,55.0,-9.0,6.0,928.0,16.0,55.0,-9.0,0,0,0,0,0,6.0,928.0,16.0,55.0,-9.0,0,457,4312
41,7.0,923.0,15.0,47.0,-11.0,7.0,923.0,15.0,47.0,-11.0,0,0,0,0,0,7.0,923.0,15.0,47.0,-11.0,0,436,4303
42,8.0,1055.0,14.0,38.0,10.0,8.0,1055.0,14.0,38.0,10.0,0,0,0,0,0,8.0,1055.0,14.0,38.0,10.0,0,438,4313
43,7.0,988.0,16.0,36.0,-2.0,7.0,988.0,16.0,36.0,-2.0,0,0,0,0,0,7.0,988.0,16.0,36.0,-2.0,0,454,4311
44,7.0,975.0,17.0,50.0,-14.0,7.0,975.0,17.0,50.0,-14.0,0,0,0,0,0,7.0,975.0,17.0,50.0,-14.0,0,457,4299
45,7.0,954.0,16.0,49.0,-13.0,7.0,954.0,16.0,49.0,-13.0,0,0,0,0,0,7.0,954.0,16.0,49.0,-13.0,0,451,4307
46,6.0,964.0,18.0,55.0,-11.0,6.0,964.0,18.0,55.0,-11.0,0,0,0,0,0,6.0,964.0,18.0,55.0,-11.0,0,437,4317
47,4.0,1008.0,20.0,63.0,-12.0,4.0,1008.0,20.0,63.0,-12.0,0,0,0,0,0,4.0,1008.0,20.0,63.0,-12.0,0,441,4303
48,0.0,981.0,18.0,64.0,-12.0,0.0,981.0,18.0,64.0,-12.0,0,0,0,0,0,0.0,981.0,18.0,64.0,-12.0,0,457,4237
49,0.0,973.0,18.0,63.0,-10.0,0.0,973.0,18.0,63.0,-10.0,0,0,0,0,0,0.0,973.0,18.0,63.0,-10.0,0,439,4248
50,4.0,1181.0,21.0,61.0,10.0,4.0,1181.0,21.0,61.0,10.0,0,0,0,0,0,4.0,1181.0,21.0,61.0,10.0,0,455,4305
51,9.0,1646.0,89.0,52.0,13.0,9.0,1646.0,18.78,52.0,13.0,0,0,1,0,0,9.0,1646.0,89.0,52.0,13.0,0,448,4294
52,14.0,2158.0,89.0,50.0,8.0,14.0,1221.48,18.78,50.0,8.0,0,1,1,0,0,14.0,2158.0,89.0,50.0,8.0,0,439,4325
53,24.0,2804.0,89.0,75.0,10.0,24.0,1221.48,18.78,75.0,10.0,0,1,1,0,0,27.43,2419.24,94.66,93.17,36.17,1,437,4227
54,34.0,2513.0,88.0,84.0,1.0,34.0,1221.48,18.78,60.95,1.0,0,1,1,1,0,20.18,2636.93,56.75,55.22,20.65,1,456,4244
55,42.0,2531.0,89.0,89.0,0.0,42.0,2531.0,18.78,60.95,0.0,0,0,1,1,0,19.5,2876.09,42.37,40.32,17.13,1,454,4234
