sample,input_speed,input_rpm,input_tp,input_load,input_timing,mstedarls_speed,mstedarls_rpm,mstedarls_tp,mstedarls_load,mstedarls_timing,mstedarls_flag_speed,mstedarls_flag_rpm,mstedarls_flag_tp,mstedarls_flag_load,mstedarls_flag_timing,mptedarls_speed,mptedarls_rpm,mptedarls_tp,mptedarls_load,mptedarls_timing,mptedarls_flag,time_mstedarls_us,time_mptedarls_us
0,0.00,982.00,15.00,16.00,4.00,0.00,982.00,15.00,16.00,4.00,0,0,0,0,0,0.00,982.00,15.00,16.00,4.00,0,424,1765
1,0.00,981.00,15.00,16.00,5.00,0.00,981.00,15.00,16.00,5.00,0,0,0,0,0,0.00,981.00,15.00,16.00,5.00,0,409,4184
2,0.00,977.00,15.00,16.00,4.00,0.00,977.00,15.00,16.00,4.00,0,0,0,0,0,0.00,977.00,15.00,16.00,4.00,0,403,4270
3,0.00,977.00,15.00,16.00,5.00,0.00,977.00,15.00,16.00,5.00,0,0,0,0,0,0.00,977.00,15.00,16.00,5.00,0,398,4114
4,0.00,974.00,15.00,16.00,6.00,0.00,974.00,15.00,16.00,6.00,0,0,0,0,0,0.00,974.00,15.00,16.00,6.00,0,408,4274
5,0.00,978.00,15.00,16.00,6.00,0.00,978.00,15.00,16.00,6.00,0,0,0,0,0,0.00,978.00,15.00,16.00,6.00,0,402,4113
6,0.00,979.00,15.00,16.00,4.00,0.00,979.00,15.00,16.00,4.00,0,0,0,0,0,0.00,979.00,15.00,16.00,4.00,0,402,4141
7,0.00,983.00,15.00,16.00,6.00,0.00,983.00,15.00,16.00,6.00,0,0,0,0,0,0.00,983.00,15.00,16.00,6.00,0,411,4119
8,0.00,981.00,15.00,16.00,3.00,0.00,981.00,15.00,16.00,3.00,0,0,0,0,0,0.00,981.00,15.00,16.00,3.00,0,411,4273
9,0.00,977.00,15.00,16.00,4.00,0.00,977.00,15.00,16.00,4.00,0,0,0,0,0,0.00,977.00,15.00,16.00,4.00,0,396,4113
10,0.00,980.00,15.00,16.00,6.00,0.00,980.00,15.00,16.00,6.00,0,0,0,0,0,0.00,980.00,15.00,16.00,6.00,0,400,4121
11,0.00,984.00,19.00,16.00,-18.00,0.00,984.00,15.00,16.00,4.88,0,0,1,0,1,0.00,452.61,8.61,9.32,-1.02,1,419,4050
12,0.00,934.00,20.00,26.00,-15.00,0.00,980.75,20.00,16.00,-15.00,0,1,0,1,0,0.00,934.00,20.00,26.00,-15.00,0,427,4124
13,0.00,980.00,18.00,27.00,-14.00,0.00,980.00,18.00,27.00,-14.00,0,0,0,0,0,0.00,980.00,18.00,27.00,-14.00,0,434,4119
14,0.00,975.00,19.00,21.00,-18.00,0.00,975.00,19.00,21.00,-18.00,0,0,0,0,0,0.00,975.00,19.00,21.00,-18.00,0,441,4133
15,2.00,946.00,83.00,34.00,-17.00,0.00,946.00,17.58,34.00,-17.00,1,0,1,0,0,0.00,1108.81,13.89,22.60,6.51,1,431,4164
16,3.00,924.00,82.00,34.00,-16.00,0.00,924.00,82.00,34.00,-16.00,1,0,0,0,0,3.00,924.00,82.00,34.00,-16.00,0,441,4491
17,3.00,926.00,21.00,32.00,-12.00,3.00,926.00,21.00,32.00,-12.00,0,0,0,0,0,3.00,926.00,21.00,32.00,-12.00,0,446,4305
18,4.00,889.00,19.00,28.00,-15.00,4.00,889.00,19.00,28.00,-15.00,0,0,0,0,0,4.00,889.00,19.00,28.00,-15.00,0,452,4318
19,5.00,938.00,18.00,22.00,-13.00,5.00,938.00,18.00,22.00,-13.00,0,0,0,0,0,5.00,938.00,18.00,22.00,-13.00,0,436,4327
20,4.00,880.00,18.00,24.00,-10.00,4.00,880.00,18.00,24.00,-10.00,0,0,0,0,0,4.00,880.00,18.00,24.00,-10.00,0,455,4302
21,3.00,898.00,19.00,27.00,-11.00,3.00,898.00,19.00,27.00,-11.00,0,0,0,0,0,3.00,898.00,19.00,27.00,-11.00,0,446,4308
22,2.00,909.00,21.00,29.00,-10.00,2.00,909.00,21.00,29.00,-10.00,0,0,0,0,0,2.00,909.00,21.00,29.00,-10.00,0,442,4330
23,0.00,914.00,19.00,27.00,-19.00,0.00,914.00,19.00,27.00,-19.00,0,0,0,0,0,0.00,914.00,19.00,27.00,-19.00,0,438,4247
24,0.00,960.00,19.00,28.00,-12.00,0.00,960.00,19.00,28.00,-12.00,0,0,0,0,0,0.00,960.00,19.00,28.00,-12.00,0,455,4243
25,1.00,971.00,21.00,31.00,-15.00,1.00,971.00,21.00,31.00,-15.00,0,0,0,0,0,1.00,971.00,21.00,31.00,-15.00,0,435,4317
26,2.00,967.00,17.00,26.00,-8.00,2.00,967.00,17.00,26.00,-8.00,0,0,0,0,0,2.00,967.00,17.00,26.00,-8.00,0,453,4312
