speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,teda_flag,prediction,kan_prediction,tflite_prediction
0,982,15,16,4,198.559998,0.02,0,0,1,1,1,1
0,981,15,16,5,198.480011,-0.02,0,0.01,0,1,1,1
0,977,15,16,4,198.160004,-0.01,0,0,0,1,1,1
0,977,15,16,5,198.160004,0.03,0.01,0,0,1,1,1
0,974,15,16,6,197.919998,0,-0.01,-0.01,0,1,1,1
0,978,15,16,6,198.239990,-0.02,-0.01,-0.02,0,1,1,1
0,979,15,16,4,198.320007,0.02,0.01,-0.02,0,1,1,1
0,983,15,16,6,198.639999,0,-0.01,0,0,1,1,1
0,981,15,16,3,198.480011,-0.03,-0.01,-0.03,0,1,1,1
0,977,15,16,4,198.160004,0.02,0,0.03,0,1,1,1
0,980,15,16,6,198.399994,0,-0.03,0.02,0,1,1,1
0,984,19,16,-18,230.720001,-0.02,-0.05,0.03,1,1,1,1
0,934,20,26,-15,381.420013,-0.01,-0.03,-0.01,1,1,1,0
0,980,18,27,-14,375.299988,-0.03,-0.05,-0.01,1,1,1,1
0,975,19,21,-18,301.875000,0.03,-0.03,-0.03,0,1,0,0
2,946,83,34,-17,1664.279907,0,-0.06,-0.05,1,1,0,0
3,924,82,34,-16,1687.939941,0,-0.05,-0.01,1,1,0,0
3,926,21,32,-12,529.550049,-0.03,-0.05,-0.01,0,1,0,0
4,889,19,28,-15,446.239990,0,-0.09,-0.01,0,1,1,1
5,938,18,22,-13,369.630005,-0.01,-0.11,0.04,0,1,1,1
4,880,18,24,-10,375.200012,-0.01,-0.06,0.03,0,1,1,1
3,898,19,27,-11,419.699982,-0.01,-0.04,0.03,0,1,1,1
2,909,21,29,-10,466.394989,0,-0.01,0.09,0,1,1,1
0,914,19,27,-19,379.890015,-0.01,-0.03,0,0,1,1,1
0,960,19,28,-12,400.399994,-0.01,-0.06,0.06,0,1,1,1
1,971,21,31,-15,491.360016,-0.01,-0.05,-0.01,0,1,1,1
2,967,17,26,-8,373.380005,-0.03,-0.05,0.04,0,1,1,1
3,921,19,24,-9,380.834991,-0.02,0,-0.01,0,1,1,1
2,927,23,30,-13,516.320007,0,-0.01,0.01,0,1,1,1
2,958,32,34,-15,748.440002,-0.01,-0.03,0.02,0,1,1,0
2,950,29,34,-16,693,0,-0.03,0.01,0,1,0,0
2,972,51,34,-16,1092.959961,-0.01,-0.01,0.02,0,1,1,0
1,918,18,28,-9,394.109985,0.01,-0.02,-0.05,0,1,1,0
0,965,17,27,-3,359.774994,0,-0.05,0.01,0,1,1,1
0,942,19,25,-23,355.250000,0.01,-0.05,0,0,1,1,1
1,937,20,27,-17,411.179993,0.01,-0.05,-0.09,0,1,1,1
5,1047,21,33,-16,597.929993,0.02,-0.07,-0.08,0,1,1,1
8,1381,19,27,6,574.174988,0.02,-0.08,0.03,0,1,1,1
10,1541,18,22,15,534.559998,0,-0.07,0.03,0,1,1,1
11,1713,20,23,17,631.209961,-0.01,-0.13,-0.05,0,1,1,1
12,1911,20,23,18,684.424988,0.01,-0.12,-0.06,0,1,1,0
13,2039,20,21,19,686.630005,0.02,-0.05,0.04,0,0,1,0
15,2142,19,20,20,707.349976,0.04,-0.07,-0.03,0,1,1,0
15,1986,14,11,10,440.180023,-0.02,-0.06,0.08,0,1,1,0
15,1259,13,7,19,281.489990,-0.06,-0.03,0,0,1,1,1
14,1007,14,11,2,300.875000,0.01,0.04,0.14,0,1,1,1
14,924,13,12,-5,289.119995,-0.02,0.07,0,0,1,1,1
14,1255,16,22,-5,513.900024,0.02,0.04,0.07,0,1,1,1
13,1453,16,16,15,442.684998,-0.03,0.08,0.05,0,1,1,1
13,1493,16,16,17,448.484985,-0.02,0.17,-0.01,0,1,1,0
13,1219,14,12,5,327.375000,0.01,0.01,0.04,0,1,1,1
13,987,14,12,2,298.375000,-0.04,-0.03,-0.11,0,1,1,1
14,931,13,14,-1,312.339996,0.02,-0.07,0.21,0,1,1,1
16,917,14,13,-3,335.964996,-0.06,-0.08,0.09,0,1,1,1
18,982,12,13,-8,338.209991,0.03,-0.15,0.31,0,1,1,1
19,939,12,9,-6,299.460022,-0.02,-0.06,0.17,0,1,1,1
19,937,12,8,-3,288.494995,-0.01,-0.09,0.07,0,1,1,1
20,933,12,7,-4,287.955017,0.01,0.06,0.20,0,1,1,1
20,912,11,7,-3,271.619995,-0.03,0.10,-0.13,0,1,1,1
17,873,13,7,-3,260.760010,-0.01,0.01,0.26,0,1,1,1
14,858,14,12,-7,293.540009,-0.04,0,0.04,0,1,1,1
12,846,14,13,-5,280.750000,-0.08,-0.01,0.11,0,1,1,1
10,835,14,14,-6,268.200012,-0.03,-0.02,0.05,0,1,1,1
11,852,14,15,-9,292.760010,0.09,-0.16,0.03,0,1,1,1
12,868,14,13,-5,283.500000,-0.04,-0.28,-0.05,0,1,1,1
12,994,19,17,-13,419.630005,-0.03,-0.19,-0.01,0,1,1,1
14,1281,18,25,5,600.794983,-0.02,-0.28,0,0,1,1,0
15,1424,19,25,14,664.799988,-0.01,-0.10,0.16,0,1,1,0
17,1483,18,21,16,623.770020,0,-0.05,0.09,0,1,1,0
18,1574,18,20,16,641.059998,-0.04,-0.09,-0.25,0,1,1,0
19,1618,17,18,17,613.830017,0.06,-0.01,0.20,0,1,1,0
20,1665,17,16,18,605.700012,0.05,-0.03,-0.05,0,1,1,0
20,1685,16,16,15,591.299988,-0.04,-0.02,0.11,0,1,1,0
21,1668,16,14,14,571.900024,0.02,-0.03,0.20,0,1,1,0
21,1639,15,12,12,517.934998,-0.02,-0.17,-0.07,0,1,1,0
20,1323,12,7,9,340.604980,0.02,-0.01,-0.02,0,1,1,1
18,1126,12,8,1,302.380005,-0.02,-0.02,0.12,0,1,1,1
17,989,12,8,-4,273.625000,-0.02,0,-0.06,0,1,1,1
16,924,13,9,-3,278,-0.01,-0.08,0.09,0,1,1,1
15,893,12,9,-1,251.160004,-0.02,-0.02,0.16,0,1,1,1
13,872,13,10,3,249.780014,0.02,-0.02,0.16,0,1,1,1
10,841,14,12,-9,246.510010,0,-0.06,0.08,0,1,1,1
5,778,16,19,-11,285.359985,-0.01,-0.06,0.01,0,1,1,1
2,897,16,18,-9,249.699997,-0.01,-0.04,-0.05,0,1,1,1
1,870,19,21,-10,304.700012,0,-0.01,-0.04,0,1,1,1
0,948,18,26,-7,357.239990,-0.01,-0.01,0.01,0,1,1,1
3,945,20,27,-12,441.750000,-0.02,-0.02,-0.06,0,1,1,0
5,906,30,32,-22,722.610046,0.05,-0.01,0.10,0,1,1,1
7,927,20,30,-19,541.494995,-0.02,-0.03,-0.01,0,1,1,1
9,882,18,25,-16,455.940002,0.02,-0.02,0.06,0,1,1,1
8,922,15,19,-7,326.970001,-0.03,-0.05,-0.05,0,1,1,1
7,862,18,22,-12,385.989990,0.07,-0.06,0.09,0,1,1,1
6,883,19,26,-11,445.279999,0,-0.09,-0.07,0,1,0,0
6,888,20,28,-12,490.960022,0,-0.12,-0.02,0,1,0,0
7,892,20,28,-13,506.100006,-0.02,-0.16,-0.04,0,1,0,0
8,909,82,33,-18,1867.344971,0,-0.21,-0.06,1,1,1,1
10,1047,21,31,-12,645.135010,0.01,-0.11,-0.05,0,1,1,1
12,1225,20,28,10,645,0,-0.08,-0.06,0,1,1,0
14,1350,21,27,11,707.250000,0,-0.04,-0.08,0,1,1,0
16,1515,22,29,14,835.875000,0.02,-0.03,-0.06,0,1,1,0
18,1663,23,28,15,911.489990,0.01,0,-0.09,0,1,1,0
20,1809,22,28,16,962.160034,0,-0.06,-0.01,0,0,1,0
22,1930,22,26,17,991.199951,0,-0.07,0.02,0,1,1,0
24,2036,22,25,18,1037.820068,0.01,-0.01,-0.05,0,1,1,0
25,2109,20,21,20,945.070007,-0.01,-0.05,-0.01,0,1,1,0
25,2063,18,15,12,772.599976,-0.02,-0.06,-0.04,0,1,1,0
25,2051,18,15,12,770.200012,-0.02,-0.06,0.03,0,1,1,1
24,1942,14,14,3,634.979980,-0.02,-0.05,0.05,0,1,1,0
23,1541,12,8,-9,424.854980,-0.01,-0.06,0.02,0,1,1,1
22,1496,13,7,30,405.419983,-0.02,-0.06,0.06,0,1,1,1
21,1361,12,6,7,345.734985,0,-0.05,0.04,0,1,1,1
20,1276,12,6,2,321.880005,-0.02,-0.05,0.02,0,1,1,0
19,1084,12,6,-1,285.500000,0.01,-0.05,0.06,0,1,1,1
17,950,12,7,-3,258,-0.09,-0.06,-0.05,0,1,1,1
16,919,12,7,2,243.684982,-0.04,-0.03,-0.09,0,1,1,0
16,1286,20,24,-18,657.200012,0.02,-0.04,-0.05,0,1,1,0
17,1543,21,28,6,819.675049,0.01,-0.04,-0.07,0,1,1,0
19,1721,23,29,13,965.039978,-0.05,-0.02,-0.01,0,1,1,0
21,1875,23,29,16,1043.750000,0.01,-0.02,-0.04,0,1,1,0
22,1983,24,28,16,1095.750000,0,0,-0.06,1,1,1,0
25,2186,25,27,17,1218.359985,-0.01,-0.02,-0.08,1,1,1,0
27,2311,24,27,18,1271.969971,0.01,0,-0.08,1,1,1,0
28,1762,23,26,14,1096.739990,0.01,-0.02,-0.07,0,1,1,0
30,1660,25,32,13,1289.599976,0,-0.03,-0.08,1,1,1,0
30,1593,25,33,13,1289.294922,0,-0.03,-0.07,1,1,1,0
32,1583,25,34,13,1347.390015,-0.01,-0.08,-0.11,1,1,1,0
32,1638,25,33,13,1344.849976,-0.02,-0.03,-0.02,1,1,1,0
33,1678,25,33,13,1378.739990,-0.01,-0.02,-0.07,1,1,1,0
34,1711,25,33,13,1410.685059,0.02,-0.02,-0.03,1,1,1,0
34,1742,25,33,13,1421.070068,-0.01,-0.02,-0.12,1,1,1,0
35,1764,25,32,13,1428.439941,0.03,-0.02,0.02,1,1,1,0
35,1767,25,33,13,1450.780029,0.01,-0.07,0,1,1,1,0
36,1754,25,32,13,1446.359985,0,-0.03,-0.12,1,1,1,0
36,1775,24,32,13,1419.500000,0.02,-0.05,0.03,1,1,1,0
36,1788,25,32,14,1457.919922,0,-0.05,-0.05,1,1,1,0
37,1811,25,32,15,1487.295044,0,-0.04,-0.02,1,1,1,0
37,1828,24,31,15,1437.519897,0.01,-0.04,-0.07,1,1,1,0
37,1843,24,30,15,1421.405029,-0.01,-0.05,-0.10,0,1,1,0
38,1856,24,30,15,1447.040039,0.03,-0.04,-0.05,1,1,1,0
38,1861,24,31,15,1470.045044,0.03,-0.03,-0.04,1,1,1,0
38,1862,24,30,15,1449.080078,0,-0.06,-0.10,0,1,1,0
38,1869,24,31,15,1472.805054,-0.02,-0.08,-0.02,0,1,1,0
38,1866,24,30,15,1450.440063,0,-0.09,0.01,0,1,1,0
38,1876,24,30,15,1453.839966,0,-0.07,-0.06,0,1,1,0
39,1897,24,30,15,1482.465088,0,-0.08,-0.09,0,1,1,0
39,1920,24,30,15,1490.400024,0,-0.10,-0.05,0,1,1,0
40,1959,24,29,15,1503.855103,-0.02,-0.09,0.03,0,1,1,0
41,1484,22,29,13,1289.400024,-0.01,-0.09,0.05,0,1,1,1
40,1444,14,17,-2,810.539978,-0.01,-0.08,0.03,0,1,1,0
39,1424,13,7,-8,626.520020,-0.03,-0.08,-0.02,0,1,1,0
38,1395,12,6,-9,570.899963,-0.02,-0.08,-0.04,0,1,1,0
38,1367,12,6,-9,564.739990,0,-0.08,0,0,1,1,0
38,1348,12,6,-9,560.559998,-0.03,-0.08,0.06,0,1,1,0
37,1347,12,6,-9,547.604980,-0.02,-0.11,0.11,0,1,1,0
37,1337,12,6,-9,545.455017,-0.01,-0.05,0.11,0,1,1,0
36,1300,12,6,-9,525,-0.02,-0.04,0.18,0,1,1,0
33,1621,13,6,-7,569.594971,-0.01,-0.05,0.21,0,1,1,0
30,1470,12,7,-9,493.950012,-0.01,-0.04,0.16,0,1,1,1
25,1243,12,6,18,378.665009,0.08,-0.06,0.05,0,1,1,1
19,1168,12,8,0,319.680023,0.06,-0.09,0.08,0,1,1,1
17,950,12,7,-7,258,0,-0.08,-0.04,0,1,1,1
15,913,13,8,14,254.495010,0,-0.07,-0.07,0,1,1,0
16,1412,17,21,-3,575.719971,0.01,-0.05,-0.03,0,1,1,0
18,1551,18,18,15,603.179993,0,-0.05,-0.01,0,1,1,1
19,1676,17,19,17,641.440002,-0.01,-0.07,-0.01,0,1,1,0
21,1788,18,18,18,699.659973,-0.01,-0.04,-0.02,0,1,1,0
23,1913,18,19,18,779.729980,0.02,-0.03,-0.03,0,1,1,1
24,2000,18,18,19,798,0.05,-0.04,-0.02,0,1,1,1
25,2068,17,17,18,791.280029,0,-0.02,-0.05,0,0,1,0
25,2140,19,20,20,909,0,-0.01,-0.05,0,0,1,0
27,2304,21,22,20,1078.980103,-0.01,-0.04,-0.05,0,0,1,0
29,2134,19,20,11,988.330017,-0.01,-0.05,-0.06,0,1,1,0
30,1620,20,25,15,995.500000,0.01,-0.01,-0.05,0,1,1,0
31,1577,20,23,15,965.789978,0,-0.05,-0.03,0,1,1,0
33,1647,21,27,15,1124.099976,0.02,-0.02,-0.04,0,1,1,0
34,1676,21,27,15,1151.679932,0,-0.04,0.01,0,1,1,0
36,1753,21,26,16,1194.430054,-0.01,-0.07,0.06,0,1,1,0
37,1823,22,27,16,1287.359985,0.01,-0.04,-0.03,0,1,1,0
39,1896,23,28,15,1405.659912,0.01,-0.05,-0.04,0,1,1,0
40,1511,25,33,12,1464.014893,-0.01,-0.01,-0.10,0,1,1,0
42,1581,30,40,8,1878.209961,-0.01,-0.05,-0.04,1,1,1,0
44,1643,32,43,7,2106.705078,0.01,-0.05,-0.02,1,1,1,0
47,1718,32,42,8,2188.510010,0.02,-0.09,-0.05,1,1,1,0
49,1759,31,40,9,2162.254883,-0.02,-0.04,-0.01,1,1,1,0
51,1832,29,36,11,2058.419922,0.01,-0.09,-0.01,1,1,1,0
52,1415,29,38,6,1941.750000,0.03,-0.01,-0.10,1,1,1,0
54,1485,41,49,5,2876.274902,0,-0.03,-0.04,1,1,1,0
55,1527,30,45,7,2263.500000,0.02,-0.01,0.03,1,1,1,0
56,1541,28,41,9,2105.385010,-0.06,-0.07,0.02,1,1,1,0
57,1571,28,38,11,2076.225098,0,-0.02,-0.07,1,1,1,0
57,1580,29,38,11,2128,-0.05,-0.05,-0.10,1,1,1,0
58,1616,29,40,9,2212.840088,-0.01,-0.07,0.03,1,1,1,0
59,1633,30,40,9,2293.334961,-0.02,-0.02,-0.03,1,1,1,0
60,1665,30,40,9,2332.500000,0.02,-0.04,0.01,1,1,1,0
61,1674,28,39,9,2237,0.01,-0.05,0.06,1,1,1,0
61,1672,18,23,0,1458.239990,-0.01,-0.05,0.02,0,1,1,0
60,1591,13,7,-1,968.484985,0.04,-0.06,-0.01,0,1,1,0
58,1540,13,6,-7,908.799988,0.01,-0.05,0.05,0,1,1,0
55,1487,12,6,-9,819.534973,-0.01,-0.07,0.07,0,1,1,0
53,1419,12,6,-9,772.604980,0,-0.05,0.04,0,1,1,0
49,1456,12,6,-9,730.400024,-0.01,-0.05,0.07,0,1,1,0
45,1621,13,7,-7,759.459961,-0.02,-0.07,0.05,0,1,1,0
41,1817,13,7,-4,748.079956,-0.04,-0.06,-0.02,0,1,1,0
37,1830,13,7,-3,688.599976,0,-0.04,-0.05,0,1,1,0
35,1737,16,10,3,750.825012,-0.03,-0.05,-0.02,0,1,1,0
35,1691,15,12,13,749.885010,-0.03,-0.05,0.01,0,1,1,0
34,1669,16,12,14,751.869995,-0.02,-0.04,0.07,0,1,1,0
33,1636,14,12,0,683.099976,0,-0.10,0.05,0,1,1,0
32,1593,13,7,-7,564.135010,-0.02,-0.19,0.04,0,1,1,0
31,1532,12,7,-9,519.080017,0,-0.20,0.04,0,1,1,0
30,1458,12,7,-9,491.730011,-0.04,-0.17,0.02,0,0,1,1
28,1396,13,7,31,471.799988,-0.01,-0.17,0.02,0,0,1,1
28,1403,13,8,28,486.539978,0,-0.08,0,0,1,1,1
28,1376,14,9,25,513.559998,-0.01,0.02,-0.01,0,1,1,1
27,1354,15,10,8,527.989990,0.01,0.12,0.02,0,1,1,1
27,1327,14,12,20,531.765015,0,0.11,0.05,0,1,1,1
27,1312,14,12,17,528.839966,0.01,0.15,0.03,0,1,1,1
27,1320,16,17,12,642.400024,0.01,0.16,0.01,0,1,1,1
27,1334,16,16,14,630.809937,0.01,0.19,0.03,0,1,1,1
