speed_corrected,rpm_corrected,tp_corrected,load_corrected,timing_corrected,outlier_speed,outlier_rpm,outlier_tp,outlier_load,outlier_timing
0,982,15,16,4,0,0,0,0,0
0,981,15,16,5,0,0,0,0,0
0,977,15,16,4,0,0,0,0,0
0,977,15,16,5,0,0,0,0,0
0,974,15,16,6,0,0,0,0,0
0,978,15,16,6,0,0,0,0,0
0,979,15,16,4,0,0,0,0,0
0,983,15,16,6,0,0,0,0,0
0,981,15,16,3,0,0,0,0,0
0,977,15,16,4,0,0,0,0,0
0,980,15,16,6,0,0,0,0,0
0,984,14.9999,16,4.88451,0,0,1,0,1
0,980.747,20,15.9999,-15,0,1,0,1,0
0,980,18,27,-14,0,0,0,0,0
0,975,19,21,-18,0,0,0,0,0
1.43106e-06,946,17.5772,34,-17,1,0,1,0,0
1.43106e-06,924,82,34,-16,1,0,0,0,0
3,926,21,32,-12,0,0,0,0,0
4,889,19,28,-15,0,0,0,0,0
5,938,18,22,-13,0,0,0,0,0
4,880,18,24,-10,0,0,0,0,0
3,898,19,27,-11,0,0,0,0,0
2,909,21,29,-10,0,0,0,0,0
0,914,19,27,-19,0,0,0,0,0
0,960,19,28,-12,0,0,0,0,0
1,971,21,31,-15,0,0,0,0,0
2,967,17,26,-8,0,0,0,0,0
3,921,19,24,-9,0,0,0,0,0
2,927,23,30,-13,0,0,0,0,0
2,958,32,34,-15,0,0,0,0,0
2,950,29,34,-16,0,0,0,0,0
2,972,51,34,-16,0,0,0,0,0
1,918,18,28,-9,0,0,0,0,0
0,965,17,27,-3,0,0,0,0,0
0,942,19,25,-23,0,0,0,0,0
1,937,20,27,-17,0,0,0,0,0
5,1047,21,33,-16,0,0,0,0,0
2.11547,974.927,19,27,6,1,1,0,0,0
2.11547,974.927,18,22,15,1,1,0,0,0
2.11547,974.927,20,23,17,1,1,0,0,0
2.11547,974.927,20,23,18,1,1,0,0,0
2.11547,974.927,20,21,19,1,1,0,0,0
2.11547,974.927,19,20,20,1,1,0,0,0
15,1986,14,11,10,0,0,0,0,0
15,1259,13,7,19,0,0,0,0,0
14,1007,14,11,2,0,0,0,0,0
14,924,13,12,-5,0,0,0,0,0
14,1255,16,22,-5,0,0,0,0,0
13,1453,16,16,15,0,0,0,0,0
13,1493,16,16,17,0,0,0,0,0
13,1219,14,12,5,0,0,0,0,0
13,987,14,12,2,0,0,0,0,0
14,931,13,14,-1,0,0,0,0,0
16,917,14,13,-3,0,0,0,0,0
18,982,12,13,-8,0,0,0,0,0
19,939,12,9,-6,0,0,0,0,0
19,937,12,8,-3,0,0,0,0,0
20,933,12,7,-4,0,0,0,0,0
20,912,11,7,-3,0,0,0,0,0
17,873,13,7,-3,0,0,0,0,0
14,858,14,12,-7,0,0,0,0,0
12,846,14,13,-5,0,0,0,0,0
10,835,14,14,-6,0,0,0,0,0
11,852,14,15,-9,0,0,0,0,0
12,868,14,13,-5,0,0,0,0,0
12,994,19,17,-13,0,0,0,0,0
14,1281,18,25,5,0,0,0,0,0
15,1424,19,25,14,0,0,0,0,0
17,1483,18,21,16,0,0,0,0,0
18,1574,18,20,16,0,0,0,0,0
19,1618,17,18,17,0,0,0,0,0
20,1665,17,16,18,0,0,0,0,0
20,1685,16,16,15,0,0,0,0,0
21,1668,16,14,14,0,0,0,0,0
21,1639,15,12,12,0,0,0,0,0
20,1323,12,7,9,0,0,0,0,0
18,1126,12,8,1,0,0,0,0,0
17,989,12,8,-4,0,0,0,0,0
16,924,13,9,-3,0,0,0,0,0
15,893,12,9,-1,0,0,0,0,0
13,872,13,10,3,0,0,0,0,0
10,841,14,12,-9,0,0,0,0,0
5,778,16,19,-11,0,0,0,0,0
2,897,16,18,-9,0,0,0,0,0
1,870,19,21,-10,0,0,0,0,0
0,948,18,26,-7,0,0,0,0,0
3,945,20,27,-12,0,0,0,0,0
5,906,30,32,-22,0,0,0,0,0
7,927,20,30,-19,0,0,0,0,0
9,882,18,25,-16,0,0,0,0,0
8,922,15,19,-7,0,0,0,0,0
7,862,18,22,-12,0,0,0,0,0
6,883,19,26,-11,0,0,0,0,0
6,888,20,28,-12,0,0,0,0,0
7,892,20,28,-13,0,0,0,0,0
8,909,19.2949,33,-18,0,0,1,0,0
10,1047,21,31,-12,0,0,0,0,0
12,1225,20,28,10,0,0,0,0,0
14,1350,21,27,11,0,0,0,0,0
16,1515,22,29,14,0,0,0,0,0
18,1663,23,28,15,0,0,0,0,0
20,1809,22,28,16,0,0,0,0,0
22,1930,22,26,17,0,0,0,0,0
24,2036,22,25,18,0,0,0,0,0
25,2109,20,21,20,0,0,0,0,0
25,2063,18,15,12,0,0,0,0,0
25,2051,18,15,12,0,0,0,0,0
24,1942,14,14,3,0,0,0,0,0
23,1541,12,8,-9,0,0,0,0,0
22,1496,13,7,30,0,0,0,0,0
21,1361,12,6,7,0,0,0,0,0
20,1276,12,6,2,0,0,0,0,0
19,1084,12,6,-1,0,0,0,0,0
17,950,12,7,-3,0,0,0,0,0
16,919,12,7,2,0,0,0,0,0
16,1286,20,24,-18,0,0,0,0,0
17,1543,21,28,6,0,0,0,0,0
19,1721,23,29,13,0,0,0,0,0
21,1875,23,29,16,0,0,0,0,0
22,1983,24,28,16,0,0,0,0,0
25,2186,25,27,17,0,0,0,0,0
27,2311,24,27,18,0,0,0,0,0
28,1762,23,26,14,0,0,0,0,0
30,1660,25,32,13,0,0,0,0,0
30,1593,25,33,13,0,0,0,0,0
32,1583,25,34,13,0,0,0,0,0
32,1638,25,33,13,0,0,0,0,0
33,1678,25,33,13,0,0,0,0,0
34,1711,25,33,13,0,0,0,0,0
34,1742,25,33,13,0,0,0,0,0
35,1764,25,32,13,0,0,0,0,0
35,1767,25,33,13,0,0,0,0,0
36,1754,25,32,13,0,0,0,0,0
36,1775,24,32,13,0,0,0,0,0
36,1788,25,32,14,0,0,0,0,0
37,1811,25,32,15,0,0,0,0,0
37,1828,24,31,15,0,0,0,0,0
37,1843,24,30,15,0,0,0,0,0
38,1856,24,30,15,0,0,0,0,0
